StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,KISAN CALL CENTRE OUTBOUND CALL,"এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , আবহাওয়া , বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতিদিন সকাল ৬টা থেকে রাত ১০টা পর্যন্ত খোলা থাকবে।",2025-03-08T15:55:04.84,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-13T13:34:36.473,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Outbound call on Abandoned calls,"--The Kisan Call Center of the Government of India, where you can get all kinds of information about farming, such as disease and pest control, weather, market prices, government schemes, our toll-free number - 18001801551, which will be open every day of the week from 6 am to 10 pm.",2025-03-17T13:11:35.733,2025,3
A AND N ISLANDS,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,NA,AGRICULTURE,Others,Others,	Plant Protection	,ASKING ABOUT STATUS  OF  PM-KISAN SAMMAN NIDHI YOJANA.																																																														,EKYC সম্পূর্ণ না থাকার জন্য আপনার PM KISAN এপ্লিকেশন এর স্টেটাস দেখা যাচ্ছে না। আপনি নিকট বর্তী কোনো তথ্য-মিত্র কেন্দ্রে গিয়া EKYC সম্পূর্ণ করে পুনরায় আমাদের সাথে যোগাযোগ করতে পারেন।,2025-03-27T09:04:50.33,2025,3
A AND N ISLANDS,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,ASKING ABOUT THE UREA AND DAP FERTILIZER.,"আপনি আপনার ব্লক এ  ADA অফিসে সাথে কথা বলুন।
এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , আবহাওয়া , বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতিদিন সকাল ৬টা থেকে রাত ১০টা পর্যন্ত খোলা থাকবে।",2025-04-23T17:54:12.253,2025,4
A AND N ISLANDS,SOUTH ANDAMAN,FERRARGUNJ,NA,FISHERIES,Inland,Fresh Water,"Tank, Pond and Reservoir Management",ASKING ABOUT THE FISH MARKET.,আপনি আপনার ব্লক এর ফিসারী ডিপার্টমেন্ট যোগাযোগ করবেন।,2025-04-05T13:16:16.333,2025,4
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls ,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:03:04.087,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,--Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-10T12:49:24.613,2025,3
A AND N ISLANDS,NICOBAR,CAR NICOBAR,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-12T12:24:03.873,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-13T13:26:25.87,2025,3
A AND N ISLANDS,SOUTH ANDAMAN,LITTLE ANDAMAN,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:28:31.59,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,ASKING ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS,--,2025-02-22T14:04:11.43,2025,2
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls ,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:02:06.38,2025,3
A AND N ISLANDS,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls ,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:01:23.25,2025,3
